X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-49.632751,-22.949135,2755,3546405_ETE_1,ETE Santa Cruz do Rio Pardo,8646331,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.82999998,0,0,3546405, ,LAG
-48.417903,-21.4442579999999,2756,3546504_ETE_1,ETE Santa Ernestina,8662971,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.93000001,0,0,3546504, ,LAG
-50.937106,-20.217216,2757,3546603_ETE_1,ETE 1 - Estrada Municipal SFS-255,86792,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.77999997,0,0,3546603, ,LAG
-50.9569309999999,-20.182341,2758,3546603_ETE_2,ETE 2 - Córrego Mula,867942,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoa de Maturação, ,0,0.60000002,0,0,3546603, ,LAG
-47.5580019999999,-22.4615019999999,2759,3546702_ETE_1,ETE Santa Gertrudes,86662813,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoa de Maturação, ,0,0.75,0,0,3546702,Aglomeração Urbana de Piracicaba-AU- Piracicaba - SP,LAG
-48.167222,-22.574444,2760,3547007_ETE_1,ETE Santa Maria da Serra,8666141,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.52999997,0,0,3547007,Aglomeração Urbana de Piracicaba-AU- Piracicaba - SP,LAG
-51.762872,-21.38746,2761,3547106_ETE_1,ETE Santa Mercedes,8653831,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.91000003,0,0,3547106, ,LAG
-47.359475,-21.4480869999999,2762,3547601_ETE_2,ETE Santa Constância,868425521,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.81,0,0,3547601, ,LAG
-50.685559202,-20.2475005869999,2763,3547650_ETE_1,ETE Santa Salete,867899,0,Ativa,Não,Sim,Fossa Séptica + Filtro Anaeróbio/Biológico, ,0,0.55000001,0,0,3547650, ,SIM
-51.6452828829999,-21.977268543,2764,3547700_ETE_1,ETE Santo Anastácio - Bacia 1,8651872,0,Ativa,Não,Sim,Filtro Biológico + Decantação  (TRICKING FILTER SYSTEM), ,0,0.81,0,0,3547700, ,MIS
-51.667468781,-21.994181484,2765,3547700_ETE_2,ETE Santo Anastácio - Bacia 2,8651872,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.83999997,0,0,3547700, ,LAG
-46.4628379989999,-23.7708489999999,2766,3547809_ETE_2,ETE Parque Andreense,86698477,0,Ativa,Não,Sim,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.89999998,0,0,3547809,RM São Paulo - SP,LAT
-47.158426,-21.083745,2767,3547908_ETE_1,ETE Santo Antônio da Alegria,8686975,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.63999999,0,0,3547908, ,LAG
